report_date,region,egg_class,volume,pct_chg_last_week,package
01/22/2024,Southeast (SE),Specialty,15.4,-12.8%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Specialty,8.9,-3.8%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Organic,6.1,-0.5%,30-dozen cases in thousands
01/15/2024,South Central (SC),Organic,12.5,-3.1%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Organic,38.8,-1.8%,30-dozen cases in thousands
01/15/2024,Southeast (SE),Organic,10.9,-2.6%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Organic,15.4,-1.3%,30-dozen cases in thousands
01/15/2024,6-Area,Specialty,36.8,-6.0%,30-dozen cases in thousands
01/15/2024,South Central (SC),Cage-Free,19,14.6%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Cage-Free,114.5,-9.6%,30-dozen cases in thousands
01/15/2024,Southeast (SE),Cage-Free,16.1,-6.3%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Cage-Free,2.6,2.6%,30-dozen cases in thousands
01/15/2024,6-Area,Organic,84.8,-2.7%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Organic,1.1,-36.9%,30-dozen cases in thousands
01/15/2024,6-Area,Cage-Free,289.4,-1.8%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Cage-Free,17,7.7%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Cage-Free,120.1,3.8%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Specialty,0.5,-31.4%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Specialty,6,-12.5%,30-dozen cases in thousands
01/15/2024,South Central (SC),Specialty,3.1,-15.0%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Specialty,0,,30-dozen cases in thousands
01/15/2024,Southeast (SE),Specialty,17.7,-2.6%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Specialty,9.3,-2.0%,30-dozen cases in thousands
01/15/2024,N/A,Breaking Stock,371.3,-3.8%,30-dozen cases in thousands
01/15/2024,6-Area,Total,1308.7,-7.9%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Total,54.2,-10.9%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Total,134.2,2.5%,30-dozen cases in thousands
01/15/2024,South Central (SC),Total,218.9,-8.3%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Total,429.1,-12.8%,30-dozen cases in thousands
01/15/2024,Southeast (SE),Total,285.5,-7.2%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Total,186.8,-2.1%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Jumbo,4.2,-43.1%,30-dozen cases in thousands
01/15/2024,Southeast (SE),Jumbo,7.5,0.2%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Jumbo,16.2,-12.4%,30-dozen cases in thousands
01/15/2024,South Central (SC),Jumbo,9,-6.7%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Jumbo,3.1,-16.0%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Jumbo,1.9,21.0%,30-dozen cases in thousands
01/15/2024,6-Area,Misc,72.6,-12.4%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Misc,15.1,-2.3%,30-dozen cases in thousands
01/15/2024,Southeast (SE),Misc,12.9,2.4%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Misc,25.1,-26.7%,30-dozen cases in thousands
01/15/2024,South Central (SC),Misc,14.5,-7.3%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Misc,5,-0.5%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Misc,0,,30-dozen cases in thousands
01/15/2024,Southeast (SE),Ungraded,49.4,-14.6%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Ungraded,176.1,-9.7%,30-dozen cases in thousands
01/15/2024,South Central (SC),Ungraded,18.2,-11.4%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Ungraded,12.3,23.0%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Ungraded,1.4,4.9%,30-dozen cases in thousands
01/15/2024,6-Area,Ungraded,273.3,-10.4%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Small,1.2,-11.4%,30-dozen cases in thousands
01/15/2024,South Central (SC),Small,0.4,-55.1%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Small,1.9,15.6%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Small,1.2,16.9%,30-dozen cases in thousands
01/15/2024,6-Area,Small,11.6,-11.5%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Extra Large,14.9,-7.6%,30-dozen cases in thousands
01/15/2024,South Central (SC),Extra Large,26.8,-14.1%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Extra Large,29.4,-3.4%,30-dozen cases in thousands
01/15/2024,Southeast (SE),Extra Large,30.5,-5.4%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Extra Large,34,11.9%,30-dozen cases in thousands
01/15/2024,6-Area,Jumbo,41.9,-12.9%,30-dozen cases in thousands
01/15/2024,South Central (SC),Large,128.6,-6.4%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Large,153.2,-15.0%,30-dozen cases in thousands
01/15/2024,Southeast (SE),Large,168.5,-7.0%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Large,92,4.2%,30-dozen cases in thousands
01/15/2024,6-Area,Extra Large,137.4,-3.2%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Extra Large,1.9,9.3%,30-dozen cases in thousands
01/15/2024,Midwest (MW),Medium,28,-14.3%,30-dozen cases in thousands
01/15/2024,Southeast (SE),Medium,16.6,2.4%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Medium,18.8,-10.9%,30-dozen cases in thousands
01/15/2024,6-Area,Large,645.8,-7.4%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Large,33.1,-20.6%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Large,70.5,3.3%,30-dozen cases in thousands
01/15/2024,Southeast (SE),Small,0.1,-27.5%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Small,6.8,-14.1%,30-dozen cases in thousands
01/15/2024,6-Area,Medium,126,-5.4%,30-dozen cases in thousands
01/15/2024,Northwest (NW),Medium,14.8,9.0%,30-dozen cases in thousands
01/15/2024,Southwest (SW),Medium,26.5,1.3%,30-dozen cases in thousands
01/15/2024,South Central (SC),Medium,21.3,-9.2%,30-dozen cases in thousands
01/15/2024,Northeast (NE),Ungraded,15.9,-21.3%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Small,1.6,134.7%,30-dozen cases in thousands
01/08/2024,South Central (SC),Small,0.9,3.0%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Small,1.4,-20.4%,30-dozen cases in thousands
01/08/2024,6-Area,Ungraded,304.9,5.2%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Ungraded,1.3,-21.4%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Ungraded,10,10.7%,30-dozen cases in thousands
01/08/2024,South Central (SC),Ungraded,20.6,-21.5%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Ungraded,195,5.1%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Specialty,9.5,-4.3%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Specialty,18.2,3.6%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Specialty,0,,30-dozen cases in thousands
01/08/2024,South Central (SC),Specialty,3.7,41.5%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Specialty,6.9,-9.9%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Specialty,0.8,16.6%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Cage-Free,115.8,-13.5%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Cage-Free,15.8,8.5%,30-dozen cases in thousands
01/08/2024,6-Area,Cage-Free,294.6,-6.6%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Organic,1.8,-8.7%,30-dozen cases in thousands
01/08/2024,6-Area,Organic,87.2,0.7%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Cage-Free,2.5,-27.1%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Cage-Free,17.2,-3.8%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Cage-Free,126.7,0.4%,30-dozen cases in thousands
01/08/2024,South Central (SC),Cage-Free,16.6,-14.9%,30-dozen cases in thousands
01/08/2024,6-Area,Specialty,39.1,1.7%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Organic,15.6,-18.8%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Organic,11.2,35.5%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Organic,39.5,6.0%,30-dozen cases in thousands
01/08/2024,South Central (SC),Organic,12.9,-8.4%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Organic,6.1,6.9%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Ungraded,57.8,3.3%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Misc,0,,30-dozen cases in thousands
01/08/2024,Southwest (SW),Misc,5,-14.2%,30-dozen cases in thousands
01/08/2024,South Central (SC),Misc,15.7,-9.9%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Misc,34.2,-2.1%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Misc,12.6,4.6%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Misc,15.5,6.4%,30-dozen cases in thousands
01/08/2024,6-Area,Misc,82.9,-2.0%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Jumbo,1.6,-31.0%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Jumbo,3.7,2.3%,30-dozen cases in thousands
01/08/2024,South Central (SC),Jumbo,9.6,-3.8%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Jumbo,18.5,-9.4%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Jumbo,7.5,3.8%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Jumbo,7.3,42.3%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Total,190.7,8.3%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Total,307.6,1.3%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Total,492.3,-2.7%,30-dozen cases in thousands
01/08/2024,South Central (SC),Total,238.8,0.4%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Total,130.9,-12.2%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Total,60.9,-29.8%,30-dozen cases in thousands
01/08/2024,6-Area,Total,1421.3,-2.6%,30-dozen cases in thousands
01/08/2024,N/A,Breaking Stock,385.8,4.0%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Extra Large,1.7,-27.5%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Medium,32.6,-10.4%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Medium,16.2,2.8%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Medium,21.1,5.1%,30-dozen cases in thousands
01/08/2024,6-Area,Large,697.2,-5.8%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Large,41.7,-37.7%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Large,68.3,-18.6%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Small,0.2,-49.0%,30-dozen cases in thousands
01/08/2024,6-Area,Extra Large,141.9,-0.3%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Large,88.3,-3.2%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Large,181.2,2.0%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Large,180.2,-7.5%,30-dozen cases in thousands
01/08/2024,South Central (SC),Large,137.3,9.4%,30-dozen cases in thousands
01/08/2024,6-Area,Jumbo,48.1,-1.0%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Extra Large,30.4,19.5%,30-dozen cases in thousands
01/08/2024,Southeast (SE),Extra Large,32.2,-7.8%,30-dozen cases in thousands
01/08/2024,Midwest (MW),Extra Large,30.4,-5.3%,30-dozen cases in thousands
01/08/2024,South Central (SC),Extra Large,31.2,9.1%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Extra Large,16.1,-15.1%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Small,7.9,-5.6%,30-dozen cases in thousands
01/08/2024,6-Area,Medium,133.2,-5.6%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Medium,13.6,9.5%,30-dozen cases in thousands
01/08/2024,Southwest (SW),Medium,26.2,-3.8%,30-dozen cases in thousands
01/08/2024,South Central (SC),Medium,23.5,-20.0%,30-dozen cases in thousands
01/08/2024,Northeast (NE),Ungraded,20.2,77.6%,30-dozen cases in thousands
01/08/2024,6-Area,Small,13.1,-0.7%,30-dozen cases in thousands
01/08/2024,Northwest (NW),Small,1,-7.3%,30-dozen cases in thousands
01/01/2024,Northeast (NE),Small,8.4,1.5%,30-dozen cases in thousands
01/01/2024,Southeast (SE),Small,0.3,48.5%,30-dozen cases in thousands
01/01/2024,Southwest (SW),Large,83.9,15.4%,30-dozen cases in thousands
01/01/2024,Northwest (NW),Large,67,-4.7%,30-dozen cases in thousands
01/01/2024,6-Area,Large,740,8.8%,30-dozen cases in thousands
01/01/2024,Northeast (NE),Medium,20.1,12.3%,30-dozen cases in thousands
01/01/2024,Southeast (SE),Medium,15.8,2.3%,30-dozen cases in thousands
01/01/2024,Midwest (MW),Medium,36.4,-3.1%,30-dozen cases in thousands
01/01/2024,Northwest (NW),Extra Large,2.3,2.0%,30-dozen cases in thousands
01/01/2024,6-Area,Extra Large,142.3,22.6%,30-dozen cases in thousands
01/01/2024,6-Area,Medium,141.1,2.6%,30-dozen cases in thousands
01/01/2024,Northwest (NW),Medium,12.4,33.2%,30-dozen cases in thousands
01/01/2024,Southwest (SW),Medium,27.2,0.2%,30-dozen cases in thousands
01/01/2024,South Central (SC),Medium,29.3,-3.2%,30-dozen cases in thousands
01/01/2024,Northeast (NE),Ungraded,11.4,78.3%,30-dozen cases in thousands
01/01/2024,6-Area,Small,13.2,3.1%,30-dozen cases in thousands
01/01/2024,Northwest (NW),Small,1.1,23.3%,30-dozen cases in thousands
01/01/2024,Southwest (SW),Small,0.7,-59.3%,30-dozen cases in thousands
01/01/2024,South Central (SC),Small,0.9,1.3%,30-dozen cases in thousands
01/01/2024,Midwest (MW),Small,1.8,80.7%,30-dozen cases in thousands
01/01/2024,6-Area,Ungraded,289.8,6.8%,30-dozen cases in thousands
01/01/2024,Northwest (NW),Ungraded,1.7,-40.9%,30-dozen cases in thousands
01/01/2024,Southwest (SW),Ungraded,9,-29.0%,30-dozen cases in thousands
01/01/2024,South Central (SC),Ungraded,26.3,5.6%,30-dozen cases in thousands
01/01/2024,Midwest (MW),Ungraded,185.6,5.3%,30-dozen cases in thousands
01/01/2024,Southeast (SE),Ungraded,55.9,15.2%,30-dozen cases in thousands
01/01/2024,Northwest (NW),Misc,0,,30-dozen cases in thousands
01/01/2024,Southwest (SW),Misc,5.8,-15.0%,30-dozen cases in thousands
01/01/2024,South Central (SC),Misc,17.4,-9.2%,30-dozen cases in thousands
01/01/2024,Midwest (MW),Misc,34.9,14.9%,30-dozen cases in thousands
01/01/2024,Southeast (SE),Misc,12,-16.9%,30-dozen cases in thousands
01/01/2024,Northeast (NE),Misc,14.6,-0.8%,30-dozen cases in thousands
01/01/2024,6-Area,Misc,84.6,-0.9%,30-dozen cases in thousands
01/01/2024,Northwest (NW),Jumbo,2.3,36.7%,30-dozen cases in thousands
