report_date,region,class,type,volume,pct_chg_last_week,package,commodity,final_ind
01/22/2024,Midwest (MW),Extra Large,N/A,29.9,1.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Extra Large,N/A,29.6,-2.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Extra Large,N/A,29.5,-13.4%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Jumbo,N/A,43,2.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Large,N/A,118.2,-8.1%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Misc,N/A,26.1,3.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Misc,N/A,10.3,-20.2%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Misc,N/A,15,-1.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Misc,N/A,72.2,-0.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Jumbo,N/A,1.8,-7.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Jumbo,N/A,3,-3.5%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Jumbo,N/A,9,-0.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Jumbo,N/A,14.5,-10.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Large,N/A,118.4,-22.7%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Large,N/A,150.3,-10.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Large,N/A,77.5,-15.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Extra Large,N/A,131.2,-4.5%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Jumbo,N/A,7.1,68.7%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Jumbo,N/A,7.7,2.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Organic,Organic,6.4,4.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Organic,Organic,12.6,0.9%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Organic,Organic,39.1,0.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Organic,Organic,11.1,1.9%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Organic,Organic,14.2,-7.7%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Specialty,Specialty,31.7,-13.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Cage-Free,Cage-Free,19,0.2%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Cage-Free,Cage-Free,111.6,-2.5%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Total,N/A,161.8,-13.4%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Total,N/A,259.2,-9.2%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Total,N/A,395.5,-7.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Total,N/A,208.3,-4.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Total,N/A,99.1,-26.2%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Total,N/A,53.8,-0.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Total,N/A,1177.8,-10.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,N/A,Breaking Stock,N/A,331.8,-10.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Cage-Free,Cage-Free,15.4,-4.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Cage-Free,Cage-Free,2.8,9.2%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Organic,Organic,84.5,-0.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Organic,Organic,1.1,3.2%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Cage-Free,Cage-Free,254,-12.2%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Cage-Free,Cage-Free,17,0.1%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Cage-Free,Cage-Free,88.1,-26.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Specialty,Specialty,0.5,9.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Specialty,Specialty,2.9,-52.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Specialty,Specialty,3.9,26.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Specialty,Specialty,0,,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Specialty,Specialty,15.4,-12.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Specialty,Specialty,8.9,-3.8%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Organic,Organic,6.1,-0.5%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Organic,Organic,12.5,-3.1%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Organic,Organic,38.8,-1.8%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Organic,Organic,10.9,-2.6%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Organic,Organic,15.4,-1.3%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Specialty,Specialty,36.8,-6.0%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Cage-Free,Cage-Free,19,14.6%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Cage-Free,Cage-Free,114.5,-9.6%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Cage-Free,Cage-Free,16.1,-6.3%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Cage-Free,Cage-Free,2.6,2.6%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Organic,Organic,84.8,-2.7%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Organic,Organic,1.1,-36.9%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Cage-Free,Cage-Free,289.4,-1.8%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Cage-Free,Cage-Free,17,7.7%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Cage-Free,Cage-Free,120.1,3.8%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Specialty,Specialty,0.5,-31.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Specialty,Specialty,6,-12.5%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Specialty,Specialty,3.1,-15.0%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Specialty,Specialty,0,,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Specialty,Specialty,17.7,-2.6%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Specialty,Specialty,9.3,-2.0%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,N/A,Breaking Stock,N/A,371.3,-3.8%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Total,N/A,1308.7,-7.9%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Total,N/A,54.2,-10.9%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Total,N/A,134.2,2.5%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Total,N/A,218.9,-8.3%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Total,N/A,429.1,-12.8%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Total,N/A,285.5,-7.2%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Total,N/A,186.8,-2.1%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Jumbo,N/A,4.2,-43.1%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Jumbo,N/A,7.5,0.2%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Jumbo,N/A,16.2,-12.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Jumbo,N/A,9,-6.7%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Jumbo,N/A,3.1,-16.0%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Jumbo,N/A,1.9,21.0%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Misc,N/A,72.6,-12.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Misc,N/A,15.1,-2.3%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Misc,N/A,12.9,2.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Misc,N/A,25.1,-26.7%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Misc,N/A,14.5,-7.3%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Misc,N/A,5,-0.5%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Misc,N/A,0,,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Ungraded,N/A,49.4,-14.6%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Ungraded,N/A,176.1,-9.7%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Ungraded,N/A,18.2,-11.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Ungraded,N/A,12.3,23.0%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Ungraded,N/A,1.4,4.9%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Ungraded,N/A,273.3,-10.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Small,N/A,1.2,-11.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Small,N/A,0.4,-55.1%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Small,N/A,1.9,15.6%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Small,N/A,1.2,16.9%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Small,N/A,11.6,-11.5%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Extra Large,N/A,14.9,-7.6%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Extra Large,N/A,26.8,-14.1%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Extra Large,N/A,29.4,-3.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Extra Large,N/A,30.5,-5.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Extra Large,N/A,34,11.9%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Jumbo,N/A,41.9,-12.9%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Large,N/A,128.6,-6.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Large,N/A,153.2,-15.0%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Large,N/A,168.5,-7.0%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Large,N/A,92,4.2%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Extra Large,N/A,137.4,-3.2%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Extra Large,N/A,1.9,9.3%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Midwest (MW),Medium,N/A,28,-14.3%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Medium,N/A,16.6,2.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Medium,N/A,18.8,-10.9%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Large,N/A,645.8,-7.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Large,N/A,33.1,-20.6%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Large,N/A,70.5,3.3%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southeast (SE),Small,N/A,0.1,-27.5%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Small,N/A,6.8,-14.1%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,6-Area,Medium,N/A,126,-5.4%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northwest (NW),Medium,N/A,14.8,9.0%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Southwest (SW),Medium,N/A,26.5,1.3%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,South Central (SC),Medium,N/A,21.3,-9.2%,30-dozen cases in thousands,Shell Eggs,Final
01/15/2024,Northeast (NE),Ungraded,N/A,15.9,-21.3%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Southwest (SW),Small,N/A,1.6,134.7%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,South Central (SC),Small,N/A,0.9,3.0%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Midwest (MW),Small,N/A,1.4,-20.4%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,6-Area,Ungraded,N/A,304.9,5.2%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Northwest (NW),Ungraded,N/A,1.3,-21.4%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Southwest (SW),Ungraded,N/A,10,10.7%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,South Central (SC),Ungraded,N/A,20.6,-21.5%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Midwest (MW),Ungraded,N/A,195,5.1%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Northeast (NE),Specialty,Specialty,9.5,-4.3%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Southeast (SE),Specialty,Specialty,18.2,3.6%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Midwest (MW),Specialty,Specialty,0,,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,South Central (SC),Specialty,Specialty,3.7,41.5%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Southwest (SW),Specialty,Specialty,6.9,-9.9%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Northwest (NW),Specialty,Specialty,0.8,16.6%,30-dozen cases in thousands,Shell Eggs,Final
01/08/2024,Southwest (SW),Cage-Free,Cage-Free,115.8,-13.5%,30-dozen cases in thousands,Shell Eggs,Final
